Incident,Reported,Occurred,Type,Location,Summary,Status
2023-0598,03/15/23 12:59 PM,02/23/23 - 03/27/23,Larceny,665 Broadway,A staff member reported missing equipment.,Open
2023-0592,03/14/23 12:23 PM,03/07/23 07:00 PM - 03/13/23 09:00 AM,Matter of Record (reclassified from Larceny),Bobst Library,A staff member reported missing property. On 3.15.2023 the items were reported mistakenly discarded.,Closed
2023-0588,03/14/23 08:30 AM,03/14/23 08:30 AM,Criminal Trespass,19 West 4th Street,A Campus Safety Officer reported an attempted trespass.,Open
BOOK009,03/13/23 02:44 PM,04/13/23 02:44 PM,Larceny,NYU Bookstore,A staff member reported a retail theft.,Closed
00633-2023,03/12/23 10:45 PM,03/12/23 10:45 PM,Liquor Law Violation,Othmer Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0583,03/12/23 10:05 PM,03/12/23 10:05 PM,Criminal Trespass,Third North Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-0581,03/11/23 03:33 PM,03/11/23 03:33 PM,Criminal Trespass,ARC Building,A Campus Safety Officer reported an attempted trespass.,Open
00629-2023,03/11/23 12:40 PM,03/11/23 12:40 PM,Liquor Law Violation,Paulson Center Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
00619-2023,03/10/23 02:35 PM,03/10/23 02:35 PM,Liquor Law Violation,Weinstein Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0576,03/10/23 02:17 PM,03/10/23 02:17 PM,Disorderly Conduct / Harassment,285 Mercer Street,A contract guard reported a disorderly conduct and harassment.,Open
00613-2023,03/10/23 01:46 AM,12/01/22 - 03/09/23,Harassment,University Hall,A student reported harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0568,03/09/23 07:40 PM,03/09/23 07:40 PM,Criminal Trespass,Brittany Hall,A Campus Safety Officer reported an attempted criminal trespass.,Open
2023-0562,03/09/23 12:35 PM,03/09/23 12:35 PM,Larceny,207 Mercer Street - exterior,An NYU affiliate reported a theft outside 207 Mercer.,Open
2023-0554,03/03/23 12:20 PM,03/02/23 05:00 PM - 03/02/23 07:00 PM,Criminal Mischief,Meyer Hall,A staff member reported graffiti.,Open
2023-0553,03/08/23 04:50 AM,02/24/23 06:00 PM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2023-0552,03/07/23 04:30 PM,03/07/23 04:30 PM,Criminal Trespass,11 West 42nd Street,A Security Officer reported al trespass.,Open
2023-0547,03/07/23 01:49 PM,02/24/23 10:00 PM,Larceny,Kimmel Center,A student reported missing personal property.,Open
2023-0546,03/07/23 12:10 PM,03/07/23 12:10 PM,Criminal Trespass,King Juan Carlos,A Campus Safety Officer reported an attempted trespass.,Open
2023-0545,03/07/23 12:00 AM,03/02/23 12:00 PM - 03/02/23 08:00 PM,Larceny,Rogers Hall,A student reported missing personal property.,Open
2023-0544,03/07/23 11:27 AM,01/01/23 - 02/28/23,Larceny,Meyer Complex,A faculty member reported missing equipment.,Open
2023-0542,03/07/23 02:30 AM,03/01/23 01:48 PM & 03/06/23,Larceny/Extortion,Lafayette Hall,A student reported an attempted extortion .,Open
2023-0539,03/06/23 08:15 PM,03/06/23 08:15 PM,Loitering,Hayden Hall,A contractor reported loitering.,Open
2023-0538,03/06/23 06:20 PM,03/02/23 06:20 PM & 03/06/23 04:45 PM,Harassment,Vanderbilt Hall,A student reported a harassment.,Open
2023-0530,03/05/23 06:41 AM,03/05/23 06:41 AM,Public Lewdness,370 Jay Street - exterior,A Campus Safety Staff Member reported a public lewdness outside 370 Jay Street.,Open
2023-0522,03/04/23 05:25 PM,03/04/23 05:20 PM,Harassment,Willoughby and Jay Street,Two students reported a harassment.,Open
2023-0520,03/04/23 02:43 PM,03/04/23 02:40 PM,Harassment,89 Bleecker - exterior,A student reported a harassment outside 89 Bleecker Street.,Open
00539-2023,03/03/23 11:55 PM,03/03/23 11:55 PM,Liquor Law Violation,Paulson Center Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0517,03/03/23 05:26 PM,03/03/23 05:19 PM,Criminal Trespass,Palladium Hall,A student reported a criminal trespass.,Open
2023-0517,03/03/23 05:26 PM,03/03/23 05:19 PM,Criminal Trespass,Palladium Hall,A student reported a criminal trespass.,Open
2023-0516,03/02/23 03:14 PM,03/02/23 11:40 PM - 03/03/23 12:30 AM,Larceny,Cafe Reggio - exterior,A student reported missing personal property from outside Cafe Reggio.,Open
2023-0514,03/03/23 01:45 PM,03/03/23 01:45 PM,Criminal Trespass,370 Jay Street,A Campus Safety Officer reported an attempted trespass.,Open
2023-0511,03/03/23 06:33 AM,03/03/23 06:33 AM,Criminal Trespass,Silver Center,A Campus Safety Officer reported a criminal trespass.,Open
00512-2023,03/02/23 11:45 AM,01/01/23 - 02/28/23,Stalking,Third North Hall,A student reported a stalking.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0510,03/02/23 10:25 PM,03/02/23 10:25 PM,Harassment,Silver Center,A Campus Safety Officer reported a harassment.,Open
2023-0509,03/02/23 10:14 PM,03/02/23 10:14 PM,Criminal Trespass / Harassment,725 Broadway,A Campus Security Officer reported a criminal trespass and harassment.,Open
2023-0508,03/02/23 09:13 PM,03/02/23 09:13 PM - 03/02/23 09:21 PM,Harassment,Disorderly Conduct,A Campus Safety Officer reported a harassment.,Open
00643-2023,03/02/23 03:14 PM,03/02/23 11:15 AM,Falsely Reporting an Incident,719 Broadway,A staff member reported a false fire alarm pull.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0505,03/02/23 06:50 PM,03/02/23 06:50 PM,Criminal Trespass,Lipton Hall,A staff member reported a trespass.,Open
2023-0502,03/02/23 05:00 PM,03/02/23 05:00 PM,Criminal Trespass,Education Building,A Campus Security Officer reported an attempted trespass.,Open
2023-0496,03/02/23 12:37 PM,03/01/23 11:00 PM - 03/02/23 12:37 PM,Criminal Mischief,Greenwich Hall,A staff member reported graffiti.,Open
2023-0495,03/02/23 09:07 AM,03/02/23 09:07 AM,Harassment / Larceny - Extortion,Third North Hall,A student reported a harassment and attempted extortion.,Open
00499-2023,03/01/23 12:00 AM,02/01/23,Fondling,Paulson Center Hall,Four students reported a fondling.,Closed/Referred to Title IX
2023-0487,03/01/23 09:50 PM,03/01/23 09:50 PM,Loitering,Gramercy Green,A Campus Safety Officer reported loitering.,Open
2023-0484,03/01/23 04:06 PM,03/01/23 03:55 PM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-0483,03/01/23 03:10 PM,03/01/23 03:10 PM,Criminal Trespass / Public Lewdness,4 Washington Square Village / 244 Greene Street,A Campus Safety Officer reported a criminal trespass and public lewdness incident.,Open
2023-0481,03/01/23 02:00 PM,02/16/23 02:26 PM - 02/23/23 02:00 PM,Larceny,Bobst Library,A student reported two thefts.,Open
2023-0491,02/28/23 03:40 PM,02/27/23 12:00 AM,Harassment / Promotion and Posession of Obscene Sexual Performance by a Minor,40 West 4th Street,A student reported a harassment.,Open
2023-0475,02/28/23 06:05 PM,02/27/23 09:00 PM - 02/28/23 09:00 AM,Larceny,44 West 4th Street,A student reported missing personal property.,Open
2023-0474,02/28/23 03:30 PM,02/27/23 05:00 PM - 02/27/23 08:00 PM,Larceny,6 MetroTech,A student reported missing personal property.,Open
2023-0469,02/28/23 09:15 AM,02/28/23 09:14 AM,Loitering,Furman Hall,A Campus Safety Officer reported loitering.,Open
2023-0461,02/28/23 12:18 PM,02/25/23 09:10 PM - 02/28/23 12:18 PM,Recovered Property (reclassified from Larceny),Bobst Library,A student reported missing personal property. Property was reported found on 3/10,Closed
VSU007,02/27/23 04:37 PM,02/18/23 03:32 AM - 02/18/23 10:00 AM,Simple Assault / Criminal Obstruction of Breathing,Weinstein Hall,The NYPD reported an assault.,Closed/Referred to NYPD
2023-0460,02/27/23 12:08 PM,02/23/23 12:39 PM - 02/27/23 12:08 PM,Criminal Mischief,Greenwich Hall,A staff member reported graffiti.,Open
2023-0458,02/27/23 10:00 AM,02/22/23 11:49 AM - 02/27/23 11:00 AM,Larceny,Pless Hall,A staff member reported a missing package.,Open
2023-0456,02/27/23 09:40 AM,02/27/23 11:04 AM,Criminal Trespass,Cantor Theatre,A Campus Safety officer reported a trespass.,Open
00493-2023,02/26/23 03:06 PM,02/25/23 AM,Larceny,Clark Street Hall,A student reported missing personal property.,Open
2023-0450,02/26/23 09:30 AM,02/26/23 08:30 AM,Criminal Mischief,20 Cooper Square,An staff member reported a criminal mischief.,Open
2023-0440,02/25/23 01:40 AM,02/18/23 - 02/25/23,Larceny,Gramercy Green Hall,A student reported missing personal property.,Open
00447-2023,02/24/23 04:54 PM,02/02/23 - 02/24/23,Stalking,Second Street Hall,A student reported a stalking.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0429,02/24/23 01:51 PM,02/24/23 01:51 PM - 02/24/23 02:00 PM,Disorderly Conduct,NYU Dental Center,A staff member reported a disorderly conduct.,Open
2023-0438,02/24/23 10:16 PM,02/24/23 10:16 PM,Trespass,721 Broadway,A Campus Safety Officer reported a criminal trespass.,Open
2023-0430,02/24/23 03:33 PM,02/24/23 12:00 PM - 02/24/23 02:20 PM,Larceny,721 Broadway,A student reported missing personal property.,Open
2023-0428,02/24/23 07:50 AM,02/23/23 - 02/24/23,Criminal Mischief,Schwartz Plaza,A Campus Safety Officer reported a graffiti.,Open
2023-0426,02/23/23 07:20 PM,02/23/23 07:10 PM,Harassment,University Place near Weinstein Hall,A student reported a harassment.,Open
2023-0419,02/23/23 02:21 PM,02/23/23 01:01 PM,Simple Assault / Harassment,404 Lafayette Gym,Two students reported a fight.,Open
2023-0416,02/22/23 10:42 PM,02/22/23 09:20 PM,Fondling,50 West 4th Street (exterior),A student reported a fondling outside of 50 West 4th Street.,Open
VSU007,02/22/23 04:00 PM,02/19/23 06:55 PM,Fondling,"West 3rd Street, between Sullivan Street and MacDougal Street",The NYPD reported a fondling.,Closed/Referred to NYPD
2023-0415,02/22/23 08:12 PM,02/22/23 04:40 PM - 02/22/23 07:48 PM,Recovered Property (reclassfied from Larceny),238 Thompson Avenue,A faculty member reported missing personal property. The property was reported found on 3/10.,Closed
2023-0407,02/22/23 03:57 PM,02/15/23 10:30 AM - 02/18/23 12:00 AM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-0402,02/22/23 09:21 AM,02/22/23 09:22 AM,Falsely reporting an incident in the second degree,Palladium Hall,A false fire alarm was pulled.,Closed
2023-0401,02/22/23 09:48 AM,02/22/23 09:46 AM,Criminal Trespass,Kimmel Center,A Campus Safety Officer reported a criminal trespass.,Open
00443-2023,02/21/23 11:49 AM,09/01/22 - 02/04/23,Stalking,Coral Towers,A student reported a stalking.,Open
2023-0399,02/21/23 09:22 PM,02/21/23 07:30 PM - 02/21/23 08:30 PM,Found Property (reclassified from Larceny),Bobst Library,A student reported missing personal property. On 3/1/23 the student reported the items were recovered.,Closed
2023-0424,02/23/23 04:56 PM,02/23/23 08:30 AM - 02/23/23 04:30 PM,Larceny,NYU Dental Center,A student reported missing personal property.,Open
2023-0395,02/21/23 06:51 PM,02/21/23 06:51 PM,Larceny,Weinstein Hall,A contractor reported an attempted theft.,Open
2023-0391,02/21/23 02:18 PM,02/21/23 02:18 PM,Harassment / Disorderly Conduct,Weissman Hall,A staff member reported a disorderly conduct and harassment incident.,Open
00403-2023,02/21/23 02:00 AM,02/21/23 12:00 AM,Larceny,Brittany Hall,A student reported missing personal property.,Closed/Referred to Office of Student Conduct & Community Standards
00397-2023,02/20/23 02:05 AM,02/20/23 02:05 AM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0386,02/20/23 06:26 PM,02/20/23 06:05 PM,Harassment,Skirball Theater - exterior,A faculty member reported a harassment.,Open
00384-2023,02/18/23 01:07 AM,02/18/23 01:07 AM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0384,02/19/23 09:07 PM,02/19/23 09:07 PM,Criminal Mischief,725 Broadway,A Campus Safety Officer reported a criminal mischief.,Closed
2023-0383,02/19/23 06:42 PM,02/18/23 01:45 PM - 02/19/23 06:40 PM,Criminal Mischief,Furman Hall - exterior,An NYU affiliate reported graffiti.,Open
2023-0381,02/19/23 02:54 PM,02/19/23 02:54 PM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted criminal trespass.,Open
2023-0378,02/19/23 01:18 AM,02/19/23 01:18 AM,Public Lewdness,Bobst Library,A Campus Safety Officer reported a public lewdness.,Closed
2023-0379,02/19/23 10:50 AM,02/19/23 10:50 AM,Larceny,Second Street Hall,A Campus Safety Officer reported an attempted larceny.,Open
2023-0365,02/17/23 11:20 AM,02/17/23 11:20 AM,Disorderly Conduct,NYU Dental Center,A staff member reported a disorderly conduct.,Open
2023-0372,02/17/23 08:48 PM,02/17/23 12:00 AM,Criminal Impersonation with the Intent to Defraud Another,Othmer Hall,A student reported a scam.,Open
BOOK006,02/16/23 12:25 PM,02/16/23 12:20 PM,Larceny,NYU Bookstore,A staff member reported a theft.,Closed
2023-0357,02/16/23 08:00 PM,02/15/23 08:00 PM - 02/16/23 01:30 PM,Larceny,Carlyle Court,A student reported a theft.,Open
2023-0348,02/16/23 03:20 AM,02/15/23 08:00 PM - 02/15/23 03:15 AM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-0347,02/16/23 03:00 AM,02/16/23 02:30 AM - 02/16/23 02:45 AM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-0344,02/15/23 06:24 PM,02/15/23 01:56 PM,Found Property (Re-classified from Larceny),370 Jay Street,A student reported a theft.,Closed
2023-0343,02/15/23 03:35 PM,01/25/23 04:35 PM - 01/28/23 12:45 PM,Larceny,Brittany Hall,A student reported a missing package.,Open
2023-0340,02/15/23 10:41 AM,02/14/23 08:30 PM - 02/15/23 09:30 AM,Larceny,5 Metrotech,A student reported missing personal property.,Open
2023-0338,02/15/23 08:00 AM,01/29/23 12:00 AM,Unlawful Surveillance,Third North Hall,A student reported an unlawful surveillance,Open
BOOK005,02/14/23 04:00 PM,02/14/23 02:45 PM,Criminal Isury,NYU Bookstore,A staff member reported a criminal usury.,Closed
BOOK002,02/14/23 12:00 PM,02/08/23 12:00 PM,Larceny,NYU Bookstore,A staff member reported a larceny.,Closed
BOOK001,02/14/23 01:00 PM,01/31/23 03:58 PM,Larceny,NYU Bookstore,A staff member reported a larceny.,Closed
VSU005,02/14/23 03:28 PM,02/08/23 04:25 PM,Larceny,Washington Square South and Washington Square West,The Victim Services Unit observed a theft on the corner of WSS and WSW.,Closed/Referred to NYPD
2023-0328,02/14/23 02:20 PM,02/14/23 08:00 AM - 02/14/23 02:15 PM,Larceny,Silver Center - exterior,A student reported a bike theft outside Silver Center.,Open
2023-0327,02/14/23 07:50 AM,02/14/23 07:50 AM,Criminal Trespass,44 West 4th Street,A Campus Safety Officer reported a criminal trespass.,Open
BOOK004,02/13/23 02:00 PM,02/13/23 09:15 AM,Larceny,NYU Bookstore,A staff member reported an attempted larceny.,Closed
BOOK003,02/13/23 02:00 PM,02/09/23 12:00 PM,Larceny,NYU Bookstore,A staff member reported a larceny.,Closed
2023-0324,02/13/23 09:39 PM,02/13/23 09:32 PM,Harassment,Education Building - exterior,A non-NYU affiliate reported a harassment.,Open
2023-0320,02/13/23 02:24 PM,02/13/23 12:20 PM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-0316,02/13/23 12:35 PM,02/13/23 12:35 PM,Criminal Trespass,Forbes Building,A Campus Safety Officer reported a criminal trespass.,Open
C.0007426,02/12/23 07:59 PM,02/12/23,Sexual Abuse,Founders Hall - exterior,A student reported an incident of sexual abuse across the street from Founders Hall.,Closed/Referred to Title IX
2023-0304,02/11/23 06:40 PM,02/11/23 06:27 PM,Harassment,University Hall - exterior,A student reported a harassment outside University Hall.,Open
2023-0301,02/11/23 02:25 PM,02/11/23 01:27 PM,Extortion,University Hall,A student reported an attempted extortion.,Open
2023-0296,02/10/23 03:12 PM,02/10/23 02:50 PM,Larceny,West 3rd Street and Mercer Street,A student reported a theft.,Open
2023-0293,02/10/23 10:07 AM,02/08/23 - 02/10/23,Criminal Trespass,Lilian Vernon House,Several staff members reported a criminal trespass.,Open
00289-2023,02/09/23 02:01 PM,02/02/23 - 02/03/23,Stalking,Second Street Hall,A student reported a stalking.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0283,02/09/23 12:54 PM,01/30/23 12:00 AM - 02/09/23 12:00 AM,Stalking,East Building,A staff member reported a stalking.,Open
2023-0272,02/08/23 01:57 PM,02/08/23 01:57 PM,Criminal Trespass,2 Metrotech,A Campus Safety Officer reported an attempted criminal trespass.,Open
2023-0269,02/08/23 09:40 AM,02/06/23 03:00 PM,Disorderly Conduct,Weissman Hall,A staff member reported missing personal property.,Open
2023-0269,02/08/23 09:40 AM,02/06/23 03:00 PM,Disorderly Conduct,Weissman Hall,A staff member reported missing personal property.,Open
VSU006,02/07/23 03:51 PM,01/26/23 04:40 PM,Aggravated Assault,704 Broadway - exterior,The NYPD reported that an assault occurred outside 704 Broadway.,Closed/Referred to NYPD
2023-0267,02/07/23 07:20 PM,01/25/23 - 01/27/23,Extortion,Third North Hall,A student reported a larceny/extortion.,Open
2023-0265,02/07/23 01:53 PM,02/05/23 02:00 AM,Larceny,Lafayette Hall,A student reported a theft.,Open
2023-0259,02/07/23 09:53 AM,01/29/23 02:00 PM,Larceny,6 Metrotech Center,A staff member reported missing property.,Open
2023-0257,02/06/23 09:46 PM,02/06/23 09:13 PM,Harassment,Palladium Hall,A student reported a harassment.,Open
2023-0256,02/06/23 10:14 PM,02/06/23 08:51 PM - 02/06/23 09:51 PM,Larceny,Palladium Hall,A student reported missing personal property.,Open
2023-0250,02/06/23 11:10 AM,02/01/23 - 02/04/23,Harassment / Larceny,Lipton Hall,A student reported a harassment and larceny.,Open
VSU003,02/06/23 10:12 AM,01/28/23 03:30 AM - 01/28/23 04:30 AM,Larceny,Schwartz Plaza,The NYPD reported a theft.,Closed/Referred to NYPD
00237-2023,02/04/23 06:45 PM,02/03/23 11:30 PM,Harassment / Sexual Abuse,Second Street Hall,A student reported an incident of sexual abuse.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0246,02/05/23 03:50 PM,02/04/23 06:00 PM - 02/04/23 10:00 PM,Larceny,University Hall,A student reported missing personal property.,Open
2023-0244,02/05/23 07:00 AM,02/04/23 - 02/05/23,Criminal Mischief,Furman Hall - exterior,A Campus Safety Officer reported graffiti on a call box outside Furman Hall.,Open
2023-0243,02/05/23 04:55 AM,02/05/23 04:55 AM,Criminal Trespass,Third North Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-0233,02/04/23 01:30 AM,02/04/23 11:00 PM,Larceny,Third North Hall,A student reported missing personal property.,Open
2023-0224,02/03/23 03:16 PM,02/03/23 10:30 AM,Larceny,Silver Center,A student reported missing personal property.,Open
2023-0223,02/03/23 12:45 PM,01/30/23 06:35 PM - 02/03/23 12:20 PM,Larceny,Education Building,A student reported missing personal property.,Closed
2023-0220,02/03/23 07:59 AM,02/03/23 07:59 AM,Criminal Trespass,2 Metrotech Center,A Campus Safety Officer reported a criminal trespass.,Closed
2023-0219,02/03/23 05:15 AM,02/03/23 04:15 AM,Criminal Trespass,Carlyle Court Hall,Two students reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0215,02/02/23 09:25 PM,02/02/23 09:25 PM,Criminal Trespass,725 Broadway,A staff member reported a criminal trespass.,Open
2023-0208,02/01/23 03:48 PM,05/01/22 12:00 AM - 02/01/23 03:45 PM,Harassment,NYU Dental School,Staff members reported a harassment.,Open
2023-0204,02/01/23 07:17 PM,02/01/23 03:30 PM - 02/01/23 06:15 PM,Motor Vehicle Theft,Meyer Hall - exterior,A student reported an electric bike theft.,Open
2023-0203,02/01/23 05:20 PM,02/01/23 12:40 PM - 02/01/23 05:00 PM,Motor Vehicle Theft,Rogers Hall - exterior,A student reported an electric bike theft,Open
2023-0194,01/31/23 02:20 PM,01/31/23 01:55 PM,Menacing,West 3rd Street and MacDougal Street,Two student reported a menacing.,Open
2023-0193,01/31/23 01:30 PM,01/31/23 11:00 AM - 01/31/23 01:20 PM,Larceny,8 Washington Square East,Two student reported missing personal property.,Open
2023-0187,01/31/23 02:42 AM,01/31/23 02:36 AM,Robbery,Bobst Library - exterior,A food truck vendor reported a robbery.,Closed/Referred to NYPD
2023-0192,01/31/2023 11:00 AM,12/24/2022 - 01/31/2023,Harassment,5 Washington Place,A faculty member reported a harassment.,Open
2023-0184,01/30/23 03:03 PM,01/30/23 03:03 PM,Simple Assault / Disorderly Conduct,370 Jay Street,A Campus Safety Officer reported a simple assault and disorderly conduct.,Open
VSU004,01/30/23 02:21 PM,01/27/23 09:00 AM - 01/27/23 10:45 AM,Motor Vehicle Theft,1 Washington Square Village - exterior,The NYPD reported a motor vehicle theft.,Closed/Referred to NYPD
2023-0182,01/30/23 02:01 PM,01/26/23 11:00 PM - 01/27/23 09:00 PM,Criminal Mischief,Othmer Hall - exterior,A staff member reported graffiti.,Open
2023-0177,01/30/23 02:50 PM,01/26/23 04:00 PM - 01/26/23 07:00 PM,Larceny,Bobst Library,A student reported missing personal property.,Closed
2023-0174,01/30/23 10:03 AM,04/01/22 - 01/27/23,Harassment,Washington Square Village,A faculty member reported a harassment.,Open
2023-0173,01/30/23 08:54 AM,01/30/23 08:54 AM,Criminal Trespass,6 Metrotech,A Campus Safety Officer reported a trespass.,Open
2023-0172,01/30/23 06:50 PM,01/30/23 06:50 PM,Criminal Trespass,University Hall,A Campus Safety Officer reported a criminal trespass.,Closed
00172-2023,01/30/23,01/30/23 01:55 PM,Harassment,Rogers Hall,A faculty member reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0171,01/29/23 10:07 PM,01/29/23 03:00 PM,Larceny / Extortion,Bobst Library,A student reported an attempted extortion.,Open
00135-2023,01/28/23 12:30 AM,01/28/23 12:30 AM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
00141-2023,01/27/23 11:24 PM,01/23/23 - 01/27/23,Larceny,Lafayette Hall,A student reported missing personal property.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0155,01/27/23 06:22 PM,01/27/23 05:45 PM - 01/27/23 08:01 PM,Harassment,Palladium Hall - exterior,A student reported a harassment.,Open
00130-2023,01/27/23 02:45 PM,01/27/23 02:45 PM,Liquor Law Violation & Fraud,Greenwich Hall,An RA reported underage alcohol possession and fraud.,Closed/Referred to Office of Student Conduct & Community Standards
00122-2023,01/26/23 11:20 PM,01/26/23 11:20 PM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0147,01/26/23 06:52 PM,01/26/23 06:52 PM,Criminal Trespass,721 Broadway,A Campus Safety Officer reported an attempted trespass.,Closed
2023-0148,01/26/23 06:50 PM,01/26/23 06:40 PM,Harassment,Greene Street and Waverly Place,A student reported a harassment.,Open
2023-0139,01/25/23 03:58 PM,01/25/23 03:58 PM,Larceny,NYU Bookstore,An NYU Bookstore staff member reported an attempted retail theft.,Open
00129-2023,01/25/23 01:00 PM,01/25/23 01:00 PM,Larceny,1 Washington Place,A faculty member reported a theft.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0131,01/24/23 07:03 PM,01/24/23 04:50 PM,Criminal Trespass,113 Second Avenue,A student reported a criminal trespass.,Open
2023-0125,01/21/23 10:30 PM,01/21/23 10:30 PM,Criminal Trespass,Rogers Hall,A staff member reported a criminal trespass.,Open
2023-0122,01/24/23 11:09 AM,01/20/23 09:30 AM - 01/20/23 05:30 PM,Larceny,721 Broadway,A staff member reported missing personal property.,Open
2023-0121,01/24/23 07:40 AM,01/24/23 07:40 AM,Criminal Mischief,Rubin Hall,A Campus Safety Officer reported graffiti.,Open
2023-0120,01/23/23 11:15 PM,01/23/23 11:15 PM,Larceny / Extortion,Othmer Hall,A student reported an extortion.,Open
2023-0112,01/23/23 03:19 PM,01/23/23 07:35 AM - 01/23/23 02:50 PM,Larceny,Weinstein Hall,An NYU contractor reported missing personal property.,Open
00081-2023,01/23/23 10:30 AM,01/22/23,Harassment,Third North Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0110,01/23/23 12:00 AM,01/23/23 12:00 AM,Criminal Trespass,Bobst Library,A Campus Safety Officer reported an attempted trespass.,Open
2023-0102,01/21/23 06:56 PM,01/21/23 06:56 PM,Larceny,Paulson Center,A Campus Safety Officer reported a theft.,Open
2023-0100,01/21/23 04:16 PM,01/19/23 03:40 PM - 01/21/23 04:16 PM,Harassment,Alumni Hall,A student reported a harassment.,Open
00073-2023,01/21/23 08:00 AM,10/01/22 - 01/19/23,Larceny,Lafayette Hall,A student reported a theft.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0098,01/20/23 04:15 PM,01/20/23 09:00 AM - 01/20/23 02:00 PM,Larceny,721 Broadway,A staff member reported missing personal property.,Open
2023-0096,01/20/23 02:00 PM,01/20/23 11:49 AM - 01/20/23 01:00 PM,Burglary,Meyer Building,A staff member reported missing personal property.,Open
00061-2023,01/20/23 12:10 AM,01/20/23 12:10 AM,Liquor Law Violation,University Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
00059-2023,01/17/23 04:30 PM,01/17/23 04:30 PM,Larceny,Greenwich Hall,A staff member reported recovered stolen property.,Closed/Referred to Office of Student Conduct & Community Standards
VSU002,01/18/23 01:12 PM,12/19/22 06:00 PM - 12/19/22 10:00 PM,Larceny,534 LaGuardia Place - exterior,The NYPD reported a theft from a vehicle.,Closed/Referred to NYPD
2023-0092,01/19/23 10:40 AM,01/17/23 - 01/19/23,Larceny,44 West 4th Street,A staff member reported missing personal property.,Open
2023-0086,01/18/23 03:16 PM,01/18/23 03:00 PM,Criminal Mischief,1 East 2nd Street - exterior,A contractor reported graffiti.,Closed
2023-0088,01/18/23 10:52 PM,01/18/23 08:07 PM,Larceny,Brittany HAll,A student reported a scam.,Open
2023-0085,01/18/23 04:04 PM,01/18/23 04:04 PM,Weapons Law Violation,Lafayette Hall,A staff member reported a weapons law violation.,Open
2023-0084,01/17/23 02:30 PM,01/18/23 02:00 PM - 01/18/23 02:30 PM,Larceny,Carlyle Court Hall,Two student reported missing personal property.,Open
2023-0068,01/16/23 11:00 AM,01/16/23 07:00 AM,Criminal Trespass,25 Waverly Place,A staff member reported a trespass.,Open
2023-0063,01/15/23 04:39 PM,01/15/23 04:39 PM,Criminal Trespass,Tisch Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-0062,01/15/23 11:07 AM,01/14/23 - 01/15/23,Criminal Mischief,Seventh Street Hall,A staff member reported graffiti.,Open
2023-0061,01/15/23 07:54 PM,01/14/23 - 01/15/23,Criminal Mischief,Lafayette Hall,A staff member reported graffiti.,Open
2023-0058,01/13/23 10:36 PM,01/13/23 10:15 PM,Criminal Impersonation with the Intent to Defraud Another,Third North,A student reported a scam.,Open
2023-0052,01/13/23 09:27 AM,01/12/23 12:00 AM,Criminal Mischief,Barney Building - exterior,A Campus Safety Officer reported graffiti.,Open
2023-0050,01/12/23 08:15 PM,01/08/23 - 01/03/23,Larceny,370 Jay Street,A staff member reported missing personal property.,Open
2023-0043,01/11/23 12:55 PM,01/11/23 08:40 AM - 01/11/23 11:30 AM,Motor Vehicle Theft,Basic Science - exterior,A student reported an electric bike theft.,Open
